"Topic","Subtopic","Description","Video Links","Projects","Interview Questions"
"Dark Web & OSINT","Dark Web Monitoring","Learn methods and tools for safely gathering intelligence from darknet forums, marketplaces, and paste sites.","https://www.youtube.com/watch?v=mDSCdIPsjz0","Use an OSINT tool (e.g., SpiderFoot) to gather leaked credentials and data on a test domain, then analyze risk.","1. What is the dark web? 2. How do you safely access darknet sites? 3. What is SpiderFoot? 4. How do you verify OSINT data accuracy? 5. What legal/ethical considerations apply? 6. How do you track credential dumps? 7. What are paste sites? 8. How do you integrate OSINT into SOC workflows? 9. What indicators signal imminent attacks? 10. How do you share OSINT findings securely?"

"Security Operations Center (SOC) Fundamentals","SOC Roles & Responsibilities","Understand the structure of a SOC, analyst tiers (L1–L3), and key functions.","https://www.youtube.com/watch?v=sv8Wl-hmqe0","Design a SOC organizational chart with roles, responsibilities, and escalation paths.","1. What are the primary roles in a SOC? 2. How do L1, L2, and L3 analysts differ? 3. What is the function of a SOC manager? 4. How does a SOC interact with incident response teams? 5. What is threat hunting’s role in a SOC? 6. How do you measure SOC effectiveness? 7. What is the purpose of a SOC playbook? 8. How do you handle 24/7 monitoring? 9. What metrics track analyst performance? 10. How do you integrate threat intelligence into SOC operations?"
"SOC Tooling & Architecture","SIEM Deployment","Learn how to deploy and configure a SIEM platform (e.g., Splunk, ELK) for log aggregation and correlation.","https://www.youtube.com/watch?v=FJgg-8d0oUI","Deploy an ELK stack, ingest Windows and Linux logs, and create correlation rules for failed logins.","1. What is a SIEM? 2. How do you architect log ingestion pipelines? 3. What is log normalization? 4. How do you write correlation rules? 5. What is event enrichment? 6. How do you scale a SIEM deployment? 7. What are common SIEM performance bottlenecks? 8. How do you secure your SIEM? 9. What retention policies are recommended? 10. How do you test SIEM alerts?"
"Alert Triage & Incident Management","Triage Process","Understand how to triage alerts, reduce false positives, and escalate genuine incidents.","https://www.youtube.com/watch?v=pRZ7johz5iI","Simulate alert triage in Splunk: categorize alerts, investigate, and document escalation steps.","1. What criteria classify an alert as true vs. false positive? 2. How do you prioritize alerts? 3. What information is needed for triage? 4. How do you document investigations? 5. What is playbook-driven triage? 6. How do you escalate incidents? 7. What KPIs measure triage effectiveness? 8. How do you handle alert fatigue? 9. What automation can assist triage? 10. How do you close or re-open alerts?"
"SOC Automation & Orchestration","SOAR Integration","Learn how to implement Security Orchestration, Automation, and Response (SOAR) to streamline SOC workflows.","https://www.youtube.com/watch?v=R2AZUsxqPAI","Integrate a SOAR platform (e.g., TheHive+Cortex) with your SIEM to automate phishing email analysis.","1. What is SOAR? 2. How does SOAR differ from SIEM? 3. What are playbooks in SOAR? 4. How do you automate incident enrichment? 5. What is case management in SOAR? 6. How do you measure SOAR ROI? 7. What integration points exist with threat intel? 8. How do you handle errors in automated playbooks? 9. What security considerations apply to SOAR? 10. How do you maintain playbook versions?"
"SOC Metrics & Reporting","Performance Dashboards","Understand key SOC metrics (MTTD, MTTR, false positive rate) and how to build operational dashboards.","https://www.youtube.com/watch?v=b8dHHfTPO20","Create a Splunk or Grafana dashboard tracking MTTD, MTTR, and alert volumes over time.","1. What is Mean Time to Detect (MTTD)? 2. What is Mean Time to Respond (MTTR)? 3. How do you calculate false positive rate? 4. What dashboards are essential for SOC management? 5. How do you visualize alert trends? 6. What is service-level agreement (SLA) in SOC? 7. How do you report metrics to leadership? 8. What is capacity planning in SOC? 9. How do you benchmark SOC performance? 10. How do you iterate on dashboard improvements?"

"Governance, Risk & Compliance (GRC)","GRC Overview","Understand the core concepts of Governance, Risk Management, and Compliance in cybersecurity.","https://www.youtube.com/watch?v=JrHvTqD1Fqw","Create a GRC framework for a small company including policies, risk matrix, and compliance checklist.","1. What is the purpose of GRC in cybersecurity? 2. How does governance differ from compliance? 3. What are common compliance standards? 4. How do you conduct a risk assessment? 5. What is the role of a risk matrix? 6. How do you prioritize controls based on risk? 7. What is residual risk? 8. How do you align security policies with governance? 9. What are internal vs. external audits? 10. How do you maintain continuous compliance?"
"Security Frameworks","ISO 27001, NIST, CIS","Explore global security frameworks and understand their structure and practical implementation.","https://www.youtube.com/watch?v=iMv6IvGni1M","Map your organization’s current controls to the ISO 27001 Annex A requirements.","1. What are the key domains in ISO 27001? 2. What is NIST CSF and its five functions? 3. How do CIS Controls help improve posture? 4. How do you choose the right framework? 5. How do you implement ISO 27001? 6. What is a gap analysis? 7. What is continuous monitoring in NIST? 8. What is the purpose of a Statement of Applicability (SoA)? 9. How do you handle nonconformities? 10. What is the difference between ISO 27001 and 27002?"
"Compliance Standards","HIPAA, GDPR, PCI DSS","Understand industry-specific compliance requirements and penalties for non-compliance.","https://www.youtube.com/watch?v=tRZMyvItt6E","Perform a gap assessment of a healthcare app against HIPAA compliance requirements.","1. What is the scope of HIPAA? 2. What are GDPR data subject rights? 3. What are the main goals of PCI DSS? 4. What is the difference between data controller and processor? 5. What are the penalties for non-compliance under GDPR? 6. How do you ensure secure data processing? 7. What is the role of encryption in PCI DSS? 8. What documentation is needed for HIPAA audits? 9. What are privacy impact assessments? 10. How do you handle cross-border data transfers?"
"Risk Management","Risk Identification & Mitigation","Learn how to identify, assess, and mitigate cybersecurity risks using formal methodologies.","https://www.youtube.com/watch?v=MBpN_9hMcb4","Create a risk register for a cloud-based app with threat likelihood and impact ratings.","1. What are the components of a risk register? 2. How do you define risk appetite? 3. What is risk mitigation vs. risk transfer? 4. What is a qualitative vs. quantitative risk analysis? 5. How do you calculate risk exposure? 6. What is risk treatment? 7. How often should risk assessments be conducted? 8. What is inherent vs. residual risk? 9. How do you communicate risk to stakeholders? 10. What is a control effectiveness score?"
"Policy Management","Security Policies & Standards","Create, enforce, and monitor security policies that align with business and regulatory goals.","https://www.youtube.com/watch?v=ZK9Ukl7oyQw","Develop a company-wide Acceptable Use Policy (AUP) and a plan for employee training.","1. What is the difference between policy, standard, and procedure? 2. What makes a security policy effective? 3. How do you get executive buy-in for policies? 4. How do you enforce policy compliance? 5. What is the role of employee training in policy success? 6. How often should policies be reviewed? 7. What is policy versioning? 8. How do you track policy violations? 9. What are common cybersecurity policies? 10. How do you align policies with regulations like GDPR or ISO?"

"Major Project","Enterprise SOC Dashboard","Build a real-time Security Operations Center (SOC) dashboard that collects logs from different endpoints, performs SIEM analysis, and visualizes threats.","Splunk, ELK Stack, Wireshark, Python","End-to-end centralized dashboard showing alerts, threat trends, and incident response metrics."
"Major Project","Web App Vulnerability Assessment","Conduct vulnerability assessment and penetration testing on a simulated enterprise web application and document mitigation steps.","OWASP ZAP, Burp Suite, Nmap, Kali Linux","Security audit report with identified vulnerabilities and patched recommendations."
"Minor Project","Firewall Rule Configuration Simulation","Design and simulate firewall rule sets for different departments of an organization using virtual environments.","pfSense, Cisco Packet Tracer","Simulation of secure segmented network architecture with proper firewall rules."
"Minor Project","Phishing Attack Awareness Toolkit","Develop an interactive phishing simulation toolkit for employee training and awareness.","Canva, Python (Flask), HTML/CSS","Deployed toolkit to train employees and report phishing test results for evaluation."
